AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 0 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 1 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 2 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 0 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 1 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 2 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 3 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 4 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 0 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 1 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 2 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 3 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 4 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 0 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 1 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 3 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 4 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 5 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 6 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 0 | X: 7 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 5 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 6 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 1 | X: 7 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 2 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 3 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 4 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 5 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 6 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 3 | X: 7 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 5 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 6 | Y: 18 | Score: -11.5011
AI: 2025/04/17 10:33:03 ai.go:222: Tetrimino: T | Rotation: 2 | X: 7 | Y: 18 | Score: -11.4736
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 0 | Y: 15 | Score: -54.1580
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 1 | Y: 15 | Score: -62.3413
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 2 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 0 | Y: 15 | Score: -54.1580
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 0 | Y: 15 | Score: -54.1580
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 1 | Y: 15 | Score: -62.3413
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 2 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 3 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 4 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 0 | Y: 15 | Score: -54.1580
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 1 | Y: 15 | Score: -62.3413
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 2 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 3 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 4 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 5 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 6 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 3 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 4 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 5 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 6 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 3 | X: 7 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 1 | Y: 15 | Score: -62.3413
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 2 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 3 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 5 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 2 | X: 7 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 4 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 5 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 6 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 0 | X: 7 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 6 | Y: 18 | Score: -28.8507
AI: 2025/04/17 10:33:04 ai.go:222: Tetrimino: L | Rotation: 1 | X: 7 | Y: 18 | Score: -28.7957
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 0 | Y: 15 | Score: -72.1780
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 1 | Y: 15 | Score: -72.2330
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 2 | Y: 16 | Score: -59.8769
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 3 | Y: 16 | Score: -68.0601
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 4 | Y: 16 | Score: -76.1884
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 5 | Y: 18 | Score: -53.5433
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 6 | Y: 18 | Score: -53.5983
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 1 | X: 7 | Y: 18 | Score: -53.5433
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 0 | Y: 15 | Score: -72.1780
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 1 | Y: 15 | Score: -72.2330
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 2 | Y: 16 | Score: -59.8769
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 3 | Y: 16 | Score: -68.0601
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 4 | Y: 16 | Score: -76.1884
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 5 | Y: 18 | Score: -53.5433
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 6 | Y: 18 | Score: -53.5983
AI: 2025/04/17 10:33:05 ai.go:222: Tetrimino: S | Rotation: 0 | X: 7 | Y: 18 | Score: -53.5433
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 0 | Y: 15 | Score: -77.4108
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 1 | Y: 15 | Score: -77.4933
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 2 | Y: 16 | Score: -70.6410
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 3 | Y: 16 | Score: -70.6960
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 4 | Y: 16 | Score: -75.1343
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 5 | Y: 16 | Score: -75.1343
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 6 | Y: 16 | Score: -70.6960
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 7 | Y: 16 | Score: -78.8243
AI: 2025/04/17 10:33:06 ai.go:222: Tetrimino: O | Rotation: 0 | X: 8 | Y: 18 | Score: -65.5528
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 0 | Y: 16 | Score: -98.6551
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 1 | Y: 16 | Score: -98.7101
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 2 | Y: 17 | Score: -86.0069
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 3 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 4 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 5 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 1 | X: 6 | Y: 17 | Score: -81.6578
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 0 | Y: 16 | Score: -98.6551
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 1 | Y: 16 | Score: -98.7101
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 2 | Y: 17 | Score: -86.0069
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 3 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 4 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 5 | Y: 17 | Score: -86.0619
AI: 2025/04/17 10:33:07 ai.go:222: Tetrimino: I | Rotation: 0 | X: 6 | Y: 17 | Score: -81.6578
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 3 | X: 0 | Y: 15 | Score: -112.9252
AI: 2025/04/17 10:33:08 ai.go:222: Tetrimino: J | Rotation: 1 | X: 0 | Y: 15 | Score: -112.9252
